2021년도 전기 사용량
일시,고객수,최대수요(kW),사용량(kWh)
2021-01-01,783260,"49,968,118.15","11,154,070.87"
2021-01-02,783281,"43,576,388.06","10,820,313.94"
2021-01-03,783288,"44,345,831.21","10,577,876.27"
2021-01-04,783288,"49,666,971.53","11,410,542.58"
2021-01-05,783310,"44,114,435.78","11,097,614.74"
2021-01-06,783287,"250,647,650.98","13,483,005.42"
2021-01-07,783266,"47,705,196.65","12,136,136.59"
2021-01-08,783436,"53,668,802.90","12,821,846.23"
2021-01-09,697997,"1,076,574,227.21","22,396,185.19"
2021-01-10,697966,"51,608,225.95","11,128,492.40"
2021-01-11,697966,"44,021,964.05","12,152,456.72"
2021-01-12,697890,"44,297,935.63","12,172,820.50"
2021-01-13,697757,"44,700,574.58","11,826,793.14"
2021-01-14,697708,"45,528,155.18","11,263,504.16"
2021-01-15,697703,"50,697,525.74","11,632,766.19"
2021-01-16,697612,"43,369,093.82","11,311,041.43"
2021-01-17,697621,"48,256,148.76","10,975,681.50"
2021-01-18,697615,"52,462,598.54","11,628,328.85"
2021-01-19,697561,"44,539,508.64","11,704,741.50"
2021-01-20,697621,"49,980,983.64","11,663,196.29"
2021-01-21,697440,"43,991,190.65","11,361,640.29"
2021-01-22,697286,"49,362,831.00","10,826,742.68"
2021-01-23,697075,"42,324,986.14","10,337,419.98"
2021-01-24,697065,"41,435,239.03","10,343,845.57"
2021-01-25,697062,"45,719,726.33","10,734,353.24"
2021-01-26,696657,"121,941,714.96","14,122,003.59"
2021-01-27,696375,"44,919,990.48","10,988,331.94"
2021-01-28,696245,"55,912,527.19","11,950,043.23"
2021-01-29,695954,"44,656,748.88","11,762,888.42"
2021-01-30,695755,"48,106,043.81","11,387,336.07"
2021-01-31,695641,"51,092,094.94","10,946,838.55"
2021-02-01,695648,"42,817,324.39","10,827,504.23"
2021-02-02,695378,"164,012,153.50","11,988,750.99"
2021-02-03,695378,"54,992,772.24","11,144,786.22"
2021-02-04,696170,"50,299,933.27","10,636,186.02"
2021-02-05,696231,"44,263,394.83","11,207,579.60"
2021-02-06,695699,"41,713,886.14","10,613,986.48"
2021-02-07,695710,"40,098,807.38","10,625,817.49"
2021-02-08,695714,"44,448,821.26","11,118,687.87"
2021-02-09,695480,"42,671,288.23","11,642,488.34"
2021-02-10,695307,"56,912,305.10","11,386,415.50"
2021-02-11,695196,"41,690,192.74","10,460,928.62"
2021-02-12,695197,"50,671,756.37","10,552,279.98"
2021-02-13,695201,"48,063,368.26","10,086,433.03"
2021-02-14,695204,"41,074,672.34","9,731,673.15"
2021-02-15,695205,"49,818,108.94","10,586,733.01"
2021-02-16,674766,"51,172,526.09","11,146,163.90"
2021-02-17,674535,"52,582,732.90","12,295,603.50"
2021-02-18,674378,"59,241,329.81","12,663,186.49"
2021-02-19,674258,"54,768,599.28","11,901,151.89"
2021-02-20,674748,"42,189,927.82","10,532,084.32"
2021-02-21,674750,"39,113,274.24","9,853,147.15"
2021-02-22,674745,"45,267,175.15","10,558,934.94"
2021-02-23,674563,"49,218,881.95","10,475,597.28"
2021-02-24,674246,"43,160,485.90","11,312,194.49"
2021-02-25,674190,"51,385,168.61","12,106,760.05"
2021-02-26,674144,"41,161,327.97","11,061,835.84"
2021-02-27,674108,"47,440,332.96","11,276,630.70"
2021-02-28,674108,"37,423,033.99","10,639,258.30"
2021-03-01,674113,"47,450,304.53","11,408,471.19"
2021-03-02,674114,"40,004,822.76","11,561,651.27"
2021-03-03,674086,"42,163,352.28","11,605,318.55"
2021-03-04,674106,"41,988,949.37","12,048,967.32"
2021-03-05,674041,"49,365,675.58","11,464,543.31"
2021-03-06,673943,"39,426,953.59","11,007,245.23"
2021-03-07,673923,"39,077,479.56","10,490,634.55"
2021-03-08,673902,"40,151,634.14","11,332,996.13"
2021-03-09,673790,"38,509,564.15","11,095,412.99"
2021-03-10,673567,"166,512,416.09","12,572,876.30"
2021-03-11,673496,"41,589,683.09","11,167,857.45"
2021-03-12,673361,"48,860,127.14","11,517,880.14"
2021-03-13,673227,"51,144,080.62","11,249,970.23"
2021-03-14,673237,"37,081,770.70","10,170,177.04"
2021-03-15,673239,"49,470,780.50","11,555,573.06"
2021-03-16,673384,"41,929,639.37","11,193,782.47"
2021-03-17,673215,"47,648,403.19","10,817,540.15"
2021-03-18,743088,"98,972,105.86","13,181,140.25"
2021-03-19,672889,"47,681,567.11","11,009,897.27"
2021-03-20,673342,"46,496,118.31","10,889,998.51"
2021-03-21,673207,"297,225,969.10","13,515,733.57"
2021-03-22,673204,"48,079,008.07","11,214,475.42"
2021-03-23,672897,"49,606,596.36","10,853,492.22"
2021-03-24,672521,"39,582,177.24","10,539,567.61"
2021-03-25,672187,"54,497,262.89","10,364,877.55"
2021-03-26,671898,"36,536,516.59","10,167,026.07"
2021-03-27,671557,"46,205,718.36","10,353,338.54"
2021-03-28,671576,"43,753,198.32","9,702,953.98"
2021-03-29,671514,"34,130,760.31","9,692,347.10"
2021-03-30,671236,"34,675,183.94","9,564,423.46"
2021-03-31,670933,"36,438,230.18","10,209,007.40"
2021-04-01,670723,"36,230,025.43","9,685,761.60"
2021-04-02,670585,"96,378,541.61","11,774,565.78"
2021-04-03,670583,"34,710,989.62","10,258,469.10"
2021-04-04,670518,"34,834,485.38","9,737,391.71"
2021-04-05,670515,"36,578,580.70","10,156,031.24"
2021-04-06,670367,"45,405,122.33","10,200,909.49"
2021-04-07,670032,"2,280,364,441.34","33,619,790.70"
2021-04-08,669794,"44,474,825.33","9,589,594.95"
2021-04-09,669617,"34,332,553.01","9,418,898.93"
2021-04-10,669477,"68,070,330.77","9,673,208.61"
2021-04-11,669452,"85,496,908.85","9,712,601.53"
2021-04-12,669454,"41,699,200.99","10,530,207.72"
